,DATE,CONFIRMED_CASES,ACTIVE_CASES,DEATHS
0,2020-02-28,1,1,0
1,2020-02-29,1,1,0
2,2020-03-01,1,1,0
3,2020-03-02,1,1,0
4,2020-03-03,1,1,0
5,2020-03-04,1,1,0
6,2020-03-05,1,1,0
7,2020-03-06,1,1,0
8,2020-03-07,1,1,0
9,2020-03-08,1,1,0
10,2020-03-09,1,1,0
11,2020-03-10,2,2,0
12,2020-03-11,2,2,0
13,2020-03-12,2,2,0
14,2020-03-13,2,2,0
15,2020-03-14,2,2,0
16,2020-03-15,2,2,0
17,2020-03-16,2,2,0
18,2020-03-17,3,3,0
19,2020-03-18,3,3,0
20,2020-03-19,8,7,0
21,2020-03-20,12,11,0
22,2020-03-21,12,11,0
23,2020-03-22,25,23,0
24,2020-03-23,30,28,0
25,2020-03-24,36,34,0
26,2020-03-25,44,42,0
27,2020-03-26,51,49,1
28,2020-03-27,65,62,1
29,2020-03-28,65,62,1
30,2020-03-29,97,94,1
31,2020-03-30,111,108,1
32,2020-03-31,131,123,2
33,2020-04-01,139,130,2
34,2020-04-02,174,165,2
35,2020-04-03,174,165,2
36,2020-04-04,184,164,2
37,2020-04-05,214,189,4
38,2020-04-06,232,199,5
39,2020-04-07,238,203,5
40,2020-04-08,254,210,6
41,2020-04-09,274,230,6
42,2020-04-10,288,237,7
43,2020-04-11,305,247,7
44,2020-04-12,318,248,10
45,2020-04-13,323,238,10
46,2020-04-14,343,252,10
47,2020-04-15,373,274,11
48,2020-04-16,407,279,12
49,2020-04-17,442,290,13
50,2020-04-18,493,334,17
51,2020-04-19,540,374,19
52,2020-04-20,627,457,22
53,2020-04-21,665,477,22
54,2020-04-22,782,585,25
55,2020-04-23,873,676,28
56,2020-04-24,981,784,31
57,2020-04-25,1095,887,32
58,2020-04-26,1181,963,35
59,2020-04-27,1273,1038,40
60,2020-04-28,1337,1086,40
61,2020-04-29,1532,1277,43
62,2020-04-30,1726,1421,50
63,2020-05-01,1930,1613,57
64,2020-05-02,2168,1819,67
65,2020-05-03,2388,2012,84
66,2020-05-04,2557,2166,86
67,2020-05-05,2802,2385,92
68,2020-05-06,2950,2469,97
69,2020-05-07,3145,2611,103
70,2020-05-08,3525,2924,107
71,2020-05-09,3911,3232,117
72,2020-05-10,4150,3437,125
73,2020-05-11,4398,3620,142
74,2020-05-12,4640,3738,152
75,2020-05-13,4786,3827,158
76,2020-05-14,4968,3898,164
77,2020-05-15,5157,3977,167
78,2020-05-16,5445,4125,171
79,2020-05-17,5621,4149,176
80,2020-05-18,5959,4365,182
81,2020-05-19,6167,4523,191
82,2020-05-20,6393,4659,192
83,2020-05-21,6677,4817,202
84,2020-05-22,7016,5109,211
85,2020-05-23,7260,5253,221
86,2020-05-24,7525,5351,221
87,2020-05-25,7838,5575,226
88,2020-05-26,8067,5756,233
89,2020-05-27,8343,5958,249
90,2020-05-28,8732,6231,254
91,2020-05-29,8914,6322,259
92,2020-05-30,9301,6604,261
93,2020-05-31,9854,6998,273
94,2020-06-01,10161,7154,287
95,2020-06-02,10577,7455,299
96,2020-06-03,10818,7579,314
97,2020-06-04,11166,7837,315
98,2020-06-05,11516,7981,323
99,2020-06-06,11844,8148,333
100,2020-06-07,12226,8400,342
101,2020-06-08,12486,8527,354
102,2020-06-09,12801,8761,361
103,2020-06-10,13464,9258,365
104,2020-06-11,13873,9522,382
105,2020-06-12,14554,10060,387
106,2020-06-13,15181,10290,399
107,2020-06-14,15682,10581,407
108,2020-06-15,16085,10865,420
109,2020-06-16,16658,11309,424
110,2020-06-17,17148,11525,455
111,2020-06-18,17735,11768,469
112,2020-06-19,18480,12173,475
113,2020-06-20,19147,12566,487
114,2020-06-21,19808,13090,506
115,2020-06-22,20244,13365,518
116,2020-06-23,20919,13810,525
117,2020-06-24,21371,14033,533
118,2020-06-25,22020,14407,542
119,2020-06-26,22614,14792,549
120,2020-06-27,23298,15045,554
121,2020-06-28,24077,15452,558
122,2020-06-29,24567,15560,565
123,2020-06-30,25133,15731,573
124,2020-07-01,25694,15948,590
125,2020-07-02,26484,16332,603
126,2020-07-03,27110,16309,616
127,2020-07-04,27564,16495,628
128,2020-07-05,28167,16705,634
129,2020-07-06,28711,17046,645
130,2020-07-07,29286,17458,654
131,2020-07-08,29789,17681,669
132,2020-07-09,30249,17876,684
133,2020-07-10,30748,18202,689
134,2020-07-11,31323,18528,709
135,2020-07-12,31987,18884,724
136,2020-07-13,32558,19111,740
137,2020-07-14,33153,19482,744
138,2020-07-15,33616,19824,754
